year,initiative,category,priority
2002,Maximizing Research Effectiveness,research effectiveness,1
2001,Maximizing Research Effectiveness,research effectiveness,1
2005,Revitalize Research Facilities,research facilities,1
2009,Revitalize Research and Nuclear Facilities,"research facilities, nuclear infrastructure",1
2010,Revitalize Research and Nuclear Facilities,"research facilities, nuclear infrastructure",1
2008,Revitalize Research and Nuclear Facilities,"research facilities, nuclear infrastructure",1
2007,Revitalize Research and Nuclear Facilities,"research facilities, nuclear infrastructure",1
2006,Revitalize Research and Nuclear Facilities,"research facilities, nuclear infrastructure",1
2004,Maximizing Research Productivity,research productivity,1
2005,Create a Safe Workplace,safety,1
2009,Maintain Secure Campus and Information Technology Assests,security,1
2010,Maintain Secure Campus and Information Technology Assests,security,1
2008,Maintain Secure Campus and Information Technology Assests,security,1
2007,Maintain Secure Campus and Information Technology Assests,security,1
2006,Maintain Secure Campus,security,1
2005,Maintain Secure Campus,security,1
2009,Sustainable Campus,sustainable campus,1
2010,Sustainable Campus,sustainable campus,1
2000,Quality of Work-Life,work life quality,1
2020,Develop workforce for competitive advantage,workforce development,1
2019,Develop workforce for competitive advantage,workforce development,1
2018,Develop workforce for competitive advantage,workforce development,1
2017,Develop workforce for competitive advantage,workforce development,1
2016,Develop workforce for competitive advantage,workforce development,1
2015,Develop and build our future workforce,workforce development,1
2014,Develop workforce for competitive advantage,workforce development,1
2013,Drive workforce changes for competitive advantage,workforce development,1
2012,Driving workforce changes for competitive advantage,workforce development,1
2011,Develop workforce for competitive advantage,workforce development,1
2009,Build our Future Workforce,workforce development,1
2010,Build our Future Workforce,workforce development,1
2008,Build our Future Workforce,workforce development,1
2007,Build our Future Workforce,workforce development,1
2006,Build our Future Workforce,workforce development,1
2005,Build our Future Workforce,workforce development,1
2004,Workforce Planning and Development,workforce development,1
2000,Workforce Diversity,workforce diversity,1
